#    L    TT             EE             BB             TE             PP             TP             EP          
    88    0.22763E+04    0.58970E+00    0.12527E-01   -0.15619E+02    0.10735E-06    0.44932E-03   -0.85950E-06
    89    0.23033E+04    0.60471E+00    0.12521E-01   -0.16215E+02    0.10668E-06    0.44327E-03   -0.89289E-06
    90    0.23305E+04    0.61971E+00    0.12510E-01   -0.16816E+02    0.10602E-06    0.43737E-03   -0.92041E-06
    91    0.23578E+04    0.63469E+00    0.12492E-01   -0.17421E+02    0.10536E-06    0.43161E-03   -0.94106E-06
    92    0.23854E+04    0.64964E+00    0.12469E-01   -0.18031E+02    0.10470E-06    0.42598E-03   -0.95504E-06
    93    0.24133E+04    0.66455E+00    0.12440E-01   -0.18645E+02    0.10405E-06    0.42047E-03   -0.96292E-06
    94    0.24413E+04    0.67938E+00    0.12405E-01   -0.19262E+02    0.10340E-06    0.41509E-03   -0.96522E-06
    95    0.24696E+04    0.69414E+00    0.12366E-01   -0.19883E+02    0.10275E-06    0.40982E-03   -0.96250E-06
    96    0.24979E+04    0.70880E+00    0.12320E-01   -0.20506E+02    0.10211E-06    0.40467E-03   -0.95527E-06
    97    0.25266E+04    0.72336E+00    0.12270E-01   -0.21132E+02    0.10146E-06    0.39964E-03   -0.94410E-06
    98    0.25556E+04    0.73780E+00    0.12215E-01   -0.21758E+02    0.10083E-06    0.39471E-03   -0.92951E-06
    99    0.25846E+04    0.75210E+00    0.12154E-01   -0.22387E+02    0.10019E-06    0.38988E-03   -0.91205E-06
   100    0.26139E+04    0.76625E+00    0.12089E-01   -0.23015E+02    0.99563E-07    0.38515E-03   -0.89225E-06
   101    0.26434E+04    0.78030E+00    0.12020E-01   -0.23644E+02    0.98936E-07    0.38052E-03   -0.87065E-06
   102    0.26735E+04    0.79413E+00    0.11946E-01   -0.24273E+02    0.98313E-07    0.37599E-03   -0.84778E-06
   103    0.27034E+04    0.80778E+00    0.11867E-01   -0.24902E+02    0.97693E-07    0.37154E-03   -0.82419E-06
   104    0.27336E+04    0.82128E+00    0.11784E-01   -0.25529E+02    0.97077E-07    0.36717E-03   -0.80041E-06
   105    0.27640E+04    0.83454E+00    0.11697E-01   -0.26154E+02    0.96465E-07    0.36289E-03   -0.77698E-06
   106    0.27945E+04    0.84764E+00    0.11606E-01   -0.26778E+02    0.95856E-07    0.35869E-03   -0.75443E-06
   107    0.28251E+04    0.86043E+00    0.11511E-01   -0.27398E+02    0.95252E-07    0.35456E-03   -0.73330E-06
   108    0.28560E+04    0.87298E+00    0.11412E-01   -0.28016E+02    0.94651E-07    0.35050E-03   -0.71413E-06
   109    0.28870E+04    0.88522E+00    0.11309E-01   -0.28630E+02    0.94055E-07    0.34650E-03   -0.69744E-06
   110    0.29182E+04    0.89716E+00    0.11203E-01   -0.29238E+02    0.93462E-07    0.34257E-03   -0.68378E-06
   111    0.29495E+04    0.90886E+00    0.11094E-01   -0.29843E+02    0.92874E-07    0.33870E-03   -0.67355E-06
   112    0.29810E+04    0.92026E+00    0.10981E-01   -0.30442E+02    0.92290E-07    0.33489E-03   -0.66663E-06
   113    0.30127E+04    0.93135E+00    0.10866E-01   -0.31036E+02    0.91710E-07    0.33114E-03   -0.66279E-06
   114    0.30445E+04    0.94205E+00    0.10747E-01   -0.31623E+02    0.91134E-07    0.32744E-03   -0.66176E-06
   115    0.30765E+04    0.95253E+00    0.10625E-01   -0.32203E+02    0.90562E-07    0.32380E-03   -0.66331E-06
   116    0.31085E+04    0.96255E+00    0.10501E-01   -0.32775E+02    0.89995E-07    0.32022E-03   -0.66720E-06
   117    0.31408E+04    0.97219E+00    0.10375E-01   -0.33339E+02    0.89431E-07    0.31669E-03   -0.67317E-06
   118    0.31733E+04    0.98160E+00    0.10246E-01   -0.33895E+02    0.88871E-07    0.31322E-03   -0.68098E-06
   119    0.32058E+04    0.99063E+00    0.10115E-01   -0.34441E+02    0.88316E-07    0.30980E-03   -0.69039E-06
   120    0.32385E+04    0.99913E+00    0.99816E-02   -0.34978E+02    0.87765E-07    0.30644E-03   -0.70116E-06
   121    0.32711E+04    0.10074E+01    0.98467E-02   -0.35504E+02    0.87218E-07    0.30313E-03   -0.71303E-06
   122    0.33039E+04    0.10151E+01    0.97101E-02   -0.36019E+02    0.86675E-07    0.29987E-03   -0.72576E-06
   123    0.33367E+04    0.10224E+01    0.95721E-02   -0.36524E+02    0.86136E-07    0.29666E-03   -0.73912E-06
   124    0.33696E+04    0.10294E+01    0.94326E-02   -0.37014E+02    0.85601E-07    0.29351E-03   -0.75285E-06
   125    0.34024E+04    0.10358E+01    0.92920E-02   -0.37494E+02    0.85070E-07    0.29041E-03   -0.76671E-06
   126    0.34354E+04    0.10419E+01    0.91503E-02   -0.37960E+02    0.84543E-07    0.28735E-03   -0.78045E-06
   127    0.34683E+04    0.10475E+01    0.90077E-02   -0.38414E+02    0.84021E-07    0.28435E-03   -0.79384E-06
   128    0.35013E+04    0.10527E+01    0.88643E-02   -0.38854E+02    0.83502E-07    0.28140E-03   -0.80663E-06
   129    0.35343E+04    0.10573E+01    0.87204E-02   -0.39280E+02    0.82988E-07    0.27849E-03   -0.81857E-06
   130    0.35673E+04    0.10615E+01    0.85761E-02   -0.39689E+02    0.82477E-07    0.27563E-03   -0.82942E-06
   131    0.36003E+04    0.10652E+01    0.84316E-02   -0.40085E+02    0.81971E-07    0.27282E-03   -0.83899E-06
   132    0.36333E+04    0.10685E+01    0.82868E-02   -0.40465E+02    0.81469E-07    0.27006E-03   -0.84729E-06
   133    0.36663E+04    0.10713E+01    0.81421E-02   -0.40829E+02    0.80971E-07    0.26734E-03   -0.85440E-06
   134    0.36993E+04    0.10736E+01    0.79974E-02   -0.41175E+02    0.80477E-07    0.26467E-03   -0.86036E-06
